num	old_strain	sample	IPTG	time	medium
109	277DthrABCDasdDtdhDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDdapA_I_4p5_M1	I	4.5	M1
110	277DthrABCDasdDtdhDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDdapA_I_6_M1	I	6	M1
111	277DthrABCDasdDtdhDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDdapA_I_12_M1	I	12	M1
112	277DthrABCDasdDtdhDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDdapA_I_24_M1	I	24	M1
113	277DthrABCDasdDtdhDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDlysC_0_4p5_M1	0	4.5	M1
114	277DthrABCDasdDtdhDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDlysC_0_6_M1	0	6	M1
115	277DthrABCDasdDtdhDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDlysC_0_12_M1	0	12	M1
116	277DthrABCDasdDtdhDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDlysC_0_24_M1	0	24	M1
117	277DthrABCDasdDtdhDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDlysC_I_4p5_M1	I	4.5	M1
118	277DthrABCDasdDtdhDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDlysC_I_6_M1	I	6	M1
119	277DthrABCDasdDtdhDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDlysC_I_12_M1	I	12	M1
120	277DthrABCDasdDtdhDlysC pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDlysC_I_24_M1	I	24	M1
121	277DthrABCDasdDtdhDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDrhtA_0_4p5_M1	0	4.5	M1
122	277DthrABCDasdDtdhDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDrhtA_0_6_M1	0	6	M1
123	277DthrABCDasdDtdhDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDrhtA_0_12_M1	0	12	M1
124	277DthrABCDasdDtdhDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDrhtA_0_24_M1	0	24	M1
125	277DthrABCDasdDtdhDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDrhtA_I_4p5_M1	I	4.5	M1
126	277DthrABCDasdDtdhDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDrhtA_I_6_M1	I	6	M1
127	277DthrABCDasdDtdhDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDrhtA_I_12_M1	I	12	M1
128	277DthrABCDasdDtdhDrhtA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DtdhDrhtA_I_24_M1	I	24	M1
129	277DthrABCDasdDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdapA_0_4p5_M1	0	4.5	M1
130	277DthrABCDasdDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdapA_0_6_M1	0	6	M1
131	277DthrABCDasdDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdapA_0_12_M1	0	12	M1
132	277DthrABCDasdDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdapA_0_24_M1	0	24	M1
133	277DthrABCDasdDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdapA_I_4p5_M1	I	4.5	M1
134	277DthrABCDasdDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdapA_I_6_M1	I	6	M1
135	277DthrABCDasdDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdapA_I_12_M1	I	12	M1
136	277DthrABCDasdDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdapA_I_24_M1	I	24	M1
137	277DthrABCDasdDdhaM pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdhaM_0_4p5_M1	0	4.5	M1
138	277DthrABCDasdDdhaM pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdhaM_0_6_M1	0	6	M1
139	277DthrABCDasdDdhaM pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdhaM_0_12_M1	0	12	M1
140	277DthrABCDasdDdhaM pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdhaM_0_24_M1	0	24	M1
141	277DthrABCDasdDdhaM pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdhaM_I_4p5_M1	I	4.5	M1
142	277DthrABCDasdDdhaM pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdhaM_I_6_M1	I	6	M1
143	277DthrABCDasdDdhaM pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdhaM_I_12_M1	I	12	M1
144	277DthrABCDasdDdhaM pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DdhaM_I_24_M1	I	24	M1
145	277DthrABCDasdDlysA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysA_0_4p5_M1	0	4.5	M1
146	277DthrABCDasdDlysA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysA_0_6_M1	0	6	M1
147	277DthrABCDasdDlysA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysA_0_12_M1	0	12	M1
148	277DthrABCDasdDlysA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysA_0_24_M1	0	24	M1
149	277DthrABCDasdDlysA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysA_I_4p5_M1	I	4.5	M1
150	277DthrABCDasdDlysA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysA_I_6_M1	I	6	M1
151	277DthrABCDasdDlysA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysA_I_12_M1	I	12	M1
152	277DthrABCDasdDlysA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysA_I_24_M1	I	24	M1
153	277DthrABCDasdDlysC pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysC_0_4p5_M1	0	4.5	M1
154	277DthrABCDasdDlysC pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysC_0_6_M1	0	6	M1
155	277DthrABCDasdDlysC pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysC_0_12_M1	0	12	M1
156	277DthrABCDasdDlysC pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysC_0_24_M1	0	24	M1
157	277DthrABCDasdDlysC pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysC_I_4p5_M1	I	4.5	M1
158	277DthrABCDasdDlysC pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysC_I_6_M1	I	6	M1
159	277DthrABCDasdDlysC pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysC_I_12_M1	I	12	M1
160	277DthrABCDasdDlysC pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DlysC_I_24_M1	I	24	M1
161	277DthrABCDasdDmetL pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DmetL_0_4p5_M1	0	4.5	M1
162	277DthrABCDasdDmetL pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DmetL_0_6_M1	0	6	M1
163	277DthrABCDasdDmetL pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DmetL_0_12_M1	0	12	M1
164	277DthrABCDasdDmetL pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DmetL_0_24_M1	0	24	M1
